"","Name","Type of Insurance Company","Insurance Category","Insurance Company Status","Authorization Country","Country of Authorisation","Website","Link","address"
"525","IZZ ZORGVERZEKERAAR N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2604","NIEUWE STATIONSSTRAAT 12, 6811 KS, Arnhem Holland"
"526","JUST RETIREMENT LIMITED","Freedom To Provide Services","Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3012","Vale House Roebuck Close, Bancroft Road , RH2 7RU Surrey, Reigate United Kingdom"
"527","JUSTITIA NV/SA","Freedom To Provide Services","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1549","Plantin en Moretuslei 301, 2140, Antwerpen Belgium"
"528","KAUPTHING LIFE & PENSION, LUXEMBOURG S.A","Freedom To Provide Services","Life Insurance","Ceased","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1183","Avenue JF Kennedy 35a, L-1855, Luxembourg Luxemburg"
"529","KEMPER REINSURANCE LONDON  LTD","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1341",""
"530","KEMPER SA","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1477",""
"531","KLPP Insurance & Reinsurance Company Ltd","Freedom To Provide Services","Non Life Insurance","Active","Greece","Cyprus","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2994","Christodoulou Chadjipavlou 221 Helios Court 1st Fl., 3036, Limassol Cyprus"
"532","Komercni pojistnova, a.s.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Czech Republic","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1712","Karolinska 1 1 Prague Czech Republic"
"533","Komunalna poistovna a.s. Vienna Insurance Group","Freedom To Provide Services","Composite","Active","Greece","Slovakia","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2565","Stefanicova 17, 811 05, Bratislava Slovakia"
"534","KOOPERATIVA POIST'OVNA, A.S. VIENNA INSURANCE GROUP","Freedom To Provide Services","Composite","Active","Greece","Slovakia","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3456","Stefanovicova 4, 816 23, Bratislava Slovakia"
"535","Kooperativa pojist'ovna, a.s., Vienna Insurance Group","Freedom To Provide Services","Non Life Insurance","Active","Greece","Czech Republic","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2078","Templova 747, 110 01, Prague Czech Republic"
"536","Korporacja Ubezpieczen Kredytow Eksportowych S.A.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Poland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=481","ul. Sienna 39, 00 121, Warsaw Poland"
"537","KRAFT INSURANCE (IRELAND) LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1605",""
"538","KRAVAG - LOGISTIC Versicherungs-AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2390","Heidenkampsweg 102, 20097, Hamburg Germany"
"539","LA ESTRELLA SA","Freedom To Provide Services","Composite","Active","Greece","Spain","http://www.laestrella.es/","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=274","ORENSE 2, 28020, Madrid Spain"
"540","LA MONDIALE","Freedom To Provide Services","Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3304","AVENUE EMILE ZOLA 32, 59370, Mons en Baroeuil France"
"541","La Mondiale Europa S.A.","Freedom To Provide Services","Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2320","ATRIUM BUSINESS PARK,RUE DU PUITS ROMAIN 23 B.P 2122, L-1021, Luxembourg France"
"542","LA MONDIALE PARTENAIRE","Freedom To Provide Services","Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3306","Boulevard Haussmann 104 a 110, 75379 PARIS CEDEX 08, Paris France"
"543","LA VISCONTEA COMPANIA DI ASSICURAZIONI E RIASSICURAZIONI SPA","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Italy","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=284","Via Giovani Spadolini 4, 20141, Milan Italy"
"544","LAIKI CYPRIALIFE LTD","Freedom To Provide Services","Composite","Active","Greece","Cyprus","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=285","Akropoleos 17, 2006 Strovolos, Strovolos Cyprus"
"545","Laiki Life Insurance Company SA","Insurance Undertaking","Life Insurance","License Withdrawal","Greece","Greece","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2439","L. Syggroy & Kratitos 135,2, 17121, Athens, Attic, Greece"
"546","LANCASHIRE INSURANCE COMPANY (UK) LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1661",""
"547","Lansforsakringar AB (publ)","Freedom To Provide Services","Non Life Insurance","Active","Greece","Sweden","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5155",", S-106 50 Stockholm, Stockholm"
"548","LE MONDE ASFALISTIKI ANONYMOS ETAIRIA","Insurance Undertaking","Non Life Insurance","Liquidation","Greece","Greece","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=68","Nayarinoy 22, 10680, Athens, Attic, Greece"
"549","LE SPHINX ASSURANCES LUXEMBOURG S.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1593","Edward Steichen 10, L-2540, Luxembourg Luxemburg"
"550","LEGAL AND GENERAL ASSURANCE SOCIETY LIMITED","Freedom To Provide Services","Composite","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3375","One Coleman Street , EC2R 5AA, London United Kingdom"
"551","Lemma Europe Insurance Company Limited","Freedom To Provide Services","Non Life Insurance","Liquidation","Greece","Gibraltar","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1972","Main Street 85 Gibraltar Gibraltar"
"552","LES MUTUELLES DU MANS ASSURANCES","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1286",""
"553","LEX LIFE & PENSION S.A.","Freedom To Provide Services","Life Insurance","Ceased","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1197","rue Beck 2-4, L-1222, Luxembourg Luxemburg"
"554","LIBERTY INTERNATIONAL INSURANCE COMPANY LTD","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1404",""
"555","LIBERTY MUTUAL INSURANCE EUROPE SE","Freedom To Provide Services","Non Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3298","Rue Leon Laval 5-7, L-3372 , Leudelange Luxemburg"
"556","LIECHTENSTEIN LIFE ASSURANCE AG","Freedom To Provide Services","Life Insurance","Active","Greece","Lichtenstain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1766","Industriering 37, 9491, Ruggell Lichtenstain"
"557","LIFEGUARD INSURANCE (DUBLIN) dac","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1508","James Joyce Street The Metropolitan Building , Dublin 1, Dublin Irland"
"558","Lloyd's Insurance Company SA","Freedom To Provide Services","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3194","Bastion Tower - Place du Champs de Mars 5, B-1050, Brussels Belgium"
"559","Lloyds TSB General Insurance Limited","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2325",""
"560","LOCAL TAPIOLA GENERAL MUTUAL INSURANCE COMPANY","Freedom To Provide Services","Non Life Insurance","Active","Greece","Finland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1239","Revontulenkuja 1, 02210, Espoo Finland"
"561","LOCAL TAPIOLA MUTUAL LIFE INSURANCE COMPANY","Freedom To Provide Services","Composite","Ceased","Greece","Finland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1241","Revontulenkuja 1, 02210, Espoo Finland"
"562","LOMBARD INTERNATIONAL ASSURANCE SA","Freedom To Provide Services","Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1170","rue Lou Hemmer 4, L-1748, Senningerberg Luxemburg"
"563","LONDON GENERAL INSURANCE COMPANY LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=244","Eaton House 152-158, HA2 OEA , London United Kingdom"
"564","Lrf Forsakring SkadeForsakringsaktiebolag","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Sweden","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1645",""
"565","LUXLIFE S.A.","Freedom To Provide Services","Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1177","Z.A Bourmicht 5, L-8070, Bertrange Luxemburg"
"566","LV 1871 Private Assurance AG","Freedom To Provide Services","Life Insurance","Ceased","Greece","Lichtenstain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1711","Austrasse 15, 9495, Triesen Lichtenstain"
"567","MACIFILIA","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1774","Avenue du Marine 33, 75014, Paris France"
"568","MAGYAR EXPORTHITEL BIZTOSITO RT.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Hungary","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1587",""
"569","MAIDEN LIFE AB","Freedom To Provide Services","Life Insurance","Active","Greece","Sweden","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1665",""
"570","Mangrove Insurance Europe PCC Ltd","Freedom To Provide Services","Non Life Insurance","Active","Greece","Malta","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5174","The Hedge Business Centre, Triq ir-Rampa ta'San Giljan Level 3, Balluta Bay, St Julians STJ1062 , Malta"
"571","MANNHEIMER VERSICHERUNG AKTIENGESELLSCHAFT","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1623",""
"572","Mapfre Asistencia, Compania International De Seguros Y Reaseguros S.A.","Branch","Non Life Insurance","Ceased","Greece","Spain","http://www.mapfre.com/asistencia","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=345","CARRETERA DE POZUELO 52, 28222, Madrid Spain"
"573","MAPFRE ESPANA , COMPANIA DE SEGUROS Y REASEGUROS S.A","Freedom To Provide Services","Non Life Insurance","Active","Greece","Spain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2674","Ctra de Pozuelo 50, 2822 Majadahonda, Madrid Spain"
"574","MAPFRE GLOBAL RISKS COMPANIA INTERNACIONAL DE SEGUROS Y REASEGUROS SA","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Spain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1925","CARRETERA DE POZUELO 52, 28222, Madrid Spain"
"575","Mapfre Middlesea plc","Freedom To Provide Services","Composite","Ceased","Greece","Malta","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1700","Middle Sea House , FRN1442, Floriana Malta"
"576","MAPFRE SEGUROS DE EMPRESAS, COMPANA DE SEGUROS Y REASEGUROS S.A.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Spain","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1782",""
"577","MAPFRE SEGUROS DE EMPRESAS, COMPANIA DE SEGUROS Y REASEGUROS, S.A","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Spain","http://www.mapfre.com/seguros/es/index.shtml","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=278","CARRETERA DE POZUELO 52, 28222, Madrid Spain"
"578","MAPFRE SEGUROS GERAIS, S.A.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Portugal","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3294","Rua Doutor Antonio Loureiro Borges 9/9A Edificio Zenith - Mirfaflores, 1495-131 Alges, Alges Portugal"
"579","MARITIME INS. CO LTD","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1367",""
"580","MARKEL  EUROPE PLC","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1515","Wilton Terrace 7 - 8 Dublin Irland"
"581","Markel Insurance SE","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3085","Sophienstrasse 26, 80333, Munich Germany"
"582","MARKEL INTERNATIONAL INSURANCE COMPANY LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1288","Leadenhall Street 49, EC3A 2EA, London United Kingdom"
"583","Marlon Insurance Company Limited","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2752","Guildford Business Park 3, GU2 8XG, Guildford United Kingdom"
"584","MBIA ASSURANCE S.A.","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1184","Avenue des Champs-Elysees 101, 75008 , Paris France"
"585","Medicash Health Benefits Limited","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2472","One Derby Square , L2 1AB, Liverpool United Kingdom"
"586","MEDITERRANIA","Insurance Undertaking","Non Life Insurance","Active","Greece","Greece","http://www.mediterrania.gr","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=60","Iasonidoy (& Leof. Voyliagmenis) 1, 167 77, Hellinikon, Attic, Greece"
"587","Menzis N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2622","Lawickse Allee 130, 6709 DZ, Amsterdam Holland"
"588","Menzis Zorgverzekeraar N.V.","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2624","Lawickse Allee 130, 6709 DZ, Amsterdam Holland"
"589","MERCANTILE INDEMNITY COMPANY LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3158","Guilford Business Park 3, GU2 8XG , Guildford United Kingdom"
"590","MetLife Europe Insurance Designated Activity Company","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2333","Hatch str 20, Lower Hatch str, Dublin Irland"
"591","METLIFE EUROPE LIMITED","Freedom To Provide Services","Composite","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=316","Hatch str 20, Lower Hatch str, Dublin Irland"
"592","MetLife Insurance Limited","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1633","Forbury Square 2, Berks RG1 3EU, Berkshire United Kingdom"
"593","MGM INTERNATIONAL ASSURANCE LIMITED","Freedom To Provide Services","Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1604","Fitzwilliam Hall Fitzwilliam Square, Dublin 2, Dublin Irland"
"594","MILANO ASSICURAZIONI S.P.A.","Freedom To Provide Services","Composite","Ceased","Greece","Italy","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=281","Via Senigallia 18/2, 20161, Milan Italy"
"595","Millburn Insurance Company Limited","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1800","Brune Street, Coppergate House 16, E17NJ, London United Kingdom"
"596","MILLENNIUM INSURANCE COMPANY LIMITED","Freedom To Provide Services","Non Life Insurance","Active","Greece","Gibraltar","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1985","RAGGED STAFF WHARF 13 Gibraltar Gibraltar"
"597","MINETTA INSURANCE S.A.","Insurance Undertaking","Composite","Active","Greece","Greece","http://www.minetta.gr/","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=24","Leof. Syggroy 193-195, 17121 , Nea Smyrni, Attic, Greece"
"598","Miripro Insurance Company designated activity company","Freedom To Provide Services","Non Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1295","Bishop Street (The Boathouse) 15a Dublin Irland"
"599","MITSUI SUMITOMO INSURANCE C0MPANY (EUROPE) LIMITED.","Branch","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=346","Fenchurch 25, EC3M 5AD, London United Kingdom"
"600","MITSUI SUMITOMO INSURANCE C0MPANY (EUROPE) LIMITED.","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2489","Fenchurch 25, EC3M 5AD, London United Kingdom"
"601","MITSUI SUMITOMO INSURANCE COMPANY (EUROPE) LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1529","Fenchurch 25, EC3M 5AD, London United Kingdom"
"602","MMA IARD","Freedom To Provide Services","Non Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2547","Rue Henri Champion 160, 72030 Cedex 9 Le Mans, Le Mans France"
"603","MMA IARD ASSURANCES MUTUELLES","Freedom To Provide Services","Non Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2051","Rue Henri Champion 160, 72030 Cedex 9LE MANS, Le Mans France"
"604","Monarch Assurance Plc","Freedom To Provide Services","Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1894","Washway Road, Sale 145, M33 7PE, Cheshire United Kingdom"
"605","Monarch Assurance SE","Freedom To Provide Services","Life Insurance","Active","Greece","Malta","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5253","St.Anne Street Development House , FRN 9010 , Floriana Malta"
"606","Monument Assurance Luxembourg S.A.","Freedom To Provide Services","Life Insurance","Active","Greece","Luxemburg","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1501","Rue du Puits Romain 29, L-8070 Luxembourg, Luxembourg Luxemburg"
"607","MONUMENT LIFE INSURANCE DAC","Freedom To Provide Services","Life Insurance","Active","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3310","EUROPA HOUSE, BLOCK 9, Hartcourt Centre Harcourt Street, Dublin 2, Dublin Irland"
"608","Motors Insurance Company Limited","Freedom To Provide Services","Non Life Insurance","Active","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1755","Mid Point Thornbury Bradford Bradford United Kingdom"
"609","MOUNTAINBRAN LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1590",""
"610","MS Amlin Insurance SE","Freedom To Provide Services","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=3255","Koning Albert II Iaan 37, B-1030 , Brussels Belgium"
"611","MSIG INSURANCE EUROPE AG","Freedom To Provide Services","Non Life Insurance","Active","Greece","Germany","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2156","Rue de Victoire 65, 75009, Paris Germany"
"612","Multi Risk Benefits Ltd","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Malta","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2103","Triq iz-Zerniq 135, BKR 13, Birkirkara Malta"
"613","MULTI RISK INSURANCE COMPANY LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Irland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1503",""
"614","Mutual Insurance and Reinsurance for Information Systems","Freedom To Provide Services","Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=5242","Jules Bordetlaan / Avenue Jules Bordet 166box3, 1140 Brussels, Brussels Belgium"
"615","Mutuelle assurance des commercants et industriels de France et des cadres et salaries de l'industrie et du commerce","Freedom To Provide Services","Non Life Insurance","Active","Greece","France","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1328","Rue de Pied de Fond 2-4, 79037, Niort France"
"616","MYTILUS INSURANCE COMPANY LIMITED","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","United Kingdom","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1181","YORK ROAD 8, SE1 7NA, London United Kingdom"
"617","N.V INTERPOLIS KREDIETVERZEKERINGEN","Freedom To Provide Services","Non Life Insurance","Ceased","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=1656",""
"618","N.V. EUROMEX","Freedom To Provide Services","Non Life Insurance","Active","Greece","Belgium","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=477","Prins Boudewijnlaan 45, B 2650, Edegem Belgium"
"619","N.V. Unive Zorg","Freedom To Provide Services","Non Life Insurance","Active","Greece","Holland","-","https://www.bankofgreece.gr/en/main-tasks/supervision/private-insurance/insurance-undertakings/insurance-undertakings-information?PIFID=2601","NIEUWE STATIONSSTRAAT 12, 6811 KS, Arnhem Holland"
